trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-180.97231974738358,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-164.16185493409267,"{0: 12, 1: 0, 2: 2, 3: 4, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,1,-40.01960154028952,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-147.40712764967904,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,1,-28.984983922906267,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-34.822413921272016,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,11,-93.81174889967954,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-155.69650238545822,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-168.63316351348658,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-104.92411383113452,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-135.65332872239367,"{0: 11, 1: 0, 2: 5, 3: 3, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-138.8054872565205,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-145.35156021144243,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-77.02782743306737,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-64.65615879847857,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-96.0652342392475,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-210.51646737304876,"{0: 8, 1: 2, 2: 5, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,6,-27.60273624098737,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-74.49257002822193,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,4,-19.24572026527752,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0.5, 'e': 0}",20,0,-79.03449583276443,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 0}",20,0,-54.09148974670934,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 0}",30,0,-269.7865438638816,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 5}",0
4,True,"{'a': 0.5, 'e': 0}",30,0,-219.17903217776737,"{0: 14, 1: 7, 2: 5, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 0}",25,0,-47.098760847856155,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",1
6,True,"{'a': 0.5, 'e': 0}",25,0,-67.66792358169681,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 0}",25,0,-174.12720004848205,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 0}",20,10,-11.742895688442534,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 0}",25,0,-127.70135870033165,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 0}",20,0,-154.95013453103584,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
